id,ordinary_formula,charge,mass,energy,hform,lj_epsilon,lj_sigma
1,e-,-1,0.0005485799093287,,,,
2,Ar,0,39.948,0.0,0.0,93.3,3.542
8,N2O,0,44.0128,,81.6,232.4,3.83
9,O+,1,15.9994,,1568.787,106.7,3.05
10,N2,0,28.0134,,0.0,71.4,3.8
11,Br,0,79.904,,,236.6,3.672
12,H2,0,2.01588,,0.0,35.6,2.94
14,O2,0,31.9988,,0.0,106.7,3.47
15,O,0,15.9994,,249.175,106.7,3.05
16,O-,-1,15.9994,,101.846,106.7,3.05
18,C2F5,0,119.013415,,,500.0,5.0
19,CF3-,-1,69.005909,,,152.1,4.7
20,CF2,0,50.007506,,,108.0,3.98
22,Br+,1,79.904,,,236.6,3.672
26,H+,1,1.00794,,1536.224,37.0,2.71
27,Al,0,26.981539,,,2750.0,2.655
29,H2+,1,2.01588,,1494.7,35.6,2.94
31,HBr,0,80.91194,,,449.0,3.353
32,H,0,1.00794,,217.998,37.0,2.71
35,Ar+,1,39.948,,,93.3,3.542
36,Ar2+,1,79.896,,,93.3,3.54
37,ArH+,1,40.95594,,,93.3,3.542
39,Ar3+,1,119.844,,,,
40,He,0,4.002602,,0.0,10.22,2.58
42,He+,1,4.002602,,2378.519,10.22,2.58
45,N2+,1,28.0134,,1509.509,71.4,3.8
46,N,0,14.0067,,472.68,71.4,3.298
47,N+,1,14.0067,,1881.9,71.4,3.298
48,SiH4,0,32.11726,,,207.6,4.08
49,SiH3+,1,31.10932,,,207.6,4.08
50,Si2H6,0,62.21864,,,301.3,4.83
51,CH4,0,16.04246,,-74.6,137.0,3.82
52,CF4,0,88.004312,,,152.1,4.7
53,CF3+,1,69.005909,,,152.1,4.7
54,O2+,1,31.9988,,1171.828,106.7,3.47
55,O2-,-1,31.9988,,-0.504,106.7,3.47
56,N2O+,1,44.0128,,,232.4,3.83
57,NH3,0,17.03052,,-45.57,250.0,3.75
58,NH3+,1,17.03052,,943.29,250.0,3.75
59,F2,0,37.996806,,,112.6,3.357
60,F2+,1,37.996806,,,112.6,3.357
61,F-,-1,18.998403,,,112.6,2.97
62,Ne,0,20.1797,,,32.8,2.82
63,Ne+,1,20.1797,,,32.8,2.82
64,Kr,0,83.798,,,178.9,3.655
66,Kr+,1,83.798,,,178.9,3.655
67,Xe,0,131.293,,,206.9,4.082
69,Xe2+,1,262.586,,,206.9,4.082
70,Xe+,1,131.293,,,206.9,4.082
71,H2O,0,18.01528,,-241.83,809.1,2.64
72,H2O+,1,18.01528,,981.806,809.1,2.64
73,CO2,0,44.0095,,-393.5,195.2,3.94
74,CO2+,1,44.0095,,-943.137,195.2,3.94
76,NH2+,1,16.02258,,1270.0,250.0,3.75
77,N4+,1,56.0268,,,71.4,3.8
78,NH4+,1,18.03846,,637.9,250.0,3.75
79,H-,-1,1.00794,,139.031,37.0,2.71
80,CCl4,0,153.8227,,,322.7,5.947
81,CCl3+,1,118.3697,,,300.0,5.0
82,Cl-,-1,35.453,,,130.8,3.613
83,SiH2+,1,30.10138,,,207.6,4.08
84,Cl2,0,70.906,,,316.0,4.217
85,Cl2+,1,70.906,,,316.0,4.217
86,HCl,0,36.46094,,-92.31,344.7,3.339
89,HCl+,1,36.46094,,1143.81,344.7,3.339
92,SO2,0,64.0638,,-296.81,335.4,4.112
93,SO2+,1,64.0638,,914.506,335.4,4.112
95,SiH3N+,1,45.11602,,,207.6,4.08
96,SiH4N+,1,46.12396,,,207.6,4.08
97,C2H4+,1,28.05316,,1074.46,215.7,4.443
98,C2H4,0,28.05316,,52.5,224.7,4.163
99,C2H2,0,26.03728,,228.2,231.8,4.033
100,C2H2+,1,26.03728,,1333.9,231.8,4.033
101,H3+,1,3.02382,,1112.89,35.6,2.94
102,SiH3,0,31.10932,,198.45,170.3,3.94
103,SiH2,0,30.10138,,,133.1,3.8
104,NH,0,15.01464,,358.79,65.3,3.31
105,NH2,0,16.02258,,186.2,120.0,3.5
106,F,0,18.998403,,79.39,112.6,2.97
107,CF3,0,69.005909,,,121.0,4.32
108,Cl,0,35.453,,121.31,130.8,3.613
109,CCl3,0,118.3697,,,268.0,5.32
110,Si2H5+,1,61.2107,,,207.6,4.08
111,Si2H2+,1,58.18688,,,207.6,4.08
112,F+,1,18.998403,,1766.66,112.6,2.97
113,SiH,0,29.09344,,368.6,95.8,3.66
114,N3+,1,42.0201,,,71.4,3.8
115,Cl+,1,35.453,,,130.8,3.613
117,BCl3,0,117.17,,,337.3,5.127
118,BCl2+,1,81.717,,,682.0,4.222
119,BCl2,0,81.717,,,682.0,4.222
120,BF3,0,67.806209,,,186.3,4.198
121,BF2,0,48.807806,,,399.0,3.543
122,BF2+,1,48.807806,,,399.0,3.543
123,CF2+,1,50.007506,,,108.0,3.98
138,SiCl4,0,169.8975,,,390.2,5.977
142,OH,0,17.00734,,37.3,79.8,3.147
145,SiH3-,-1,31.10932,,,207.6,4.08
147,SiCl2+,1,98.9915,,,500.0,4.0
148,SiCl2,0,98.9915,,,980.0,3.748
149,SiCl3,0,134.4445,,,390.2,5.977
150,BCl3+,1,117.17,,,337.0,5.127
151,Hg,0,200.59,,,750.0,2.969
154,C2F6,0,138.011818,,,500.0,5.0
155,SiF4,0,104.079112,,,171.9,4.88
156,C2F4,0,100.015012,,,500.0,5.0
157,C2F3,0,81.016609,,,500.0,5.0
158,C2F5+,1,119.013415,,,500.0,5.0
159,SiCl+,1,63.5385,,,980.0,3.748
160,Cu,0,63.546,,,2930.0,2.42
163,Cu+,1,63.546,,,2930.0,2.42
164,CO,0,28.0101,,-110.53,91.7,3.69
165,CO+,1,28.0101,,1247.812,91.7,3.69
166,SiF3,0,85.080709,,,200.0,4.88
167,SiF3+,1,85.080709,,,200.0,4.88
168,SiF3-,-1,85.080709,,,200.0,4.88
170,Si2H6+,1,62.21864,,,301.3,4.83
171,Si2H4,0,60.20276,,,312.6,4.6
172,Si2H4+,1,60.20276,,,312.6,4.6
173,SiH2O,0,46.10078,,,569.0,3.37
174,NO,0,30.0061,,91.271,116.7,3.492
175,O3,0,47.9982,,141.8,400.0,4.0
176,ClO,0,51.4524,,101.2,184.0,3.842
181,SiO2,0,60.0843,,-322.07,2954.0,3.706
184,Al+,1,26.981539,,,2750.0,2.655
185,HBr+,1,80.91194,,,449.0,3.353
187,Br-,-1,79.904,,,236.6,3.672
189,C,0,12.0107,,716.67,30.6,3.385
195,Ti,0,47.867,,,2750.0,2.655
196,Ti+,1,47.867,,,2750.0,2.655
197,COF,0,47.008503,,,400.0,4.0
198,COF2,0,66.006906,,,400.0,4.0
199,C2F4+,1,100.015012,,,500.0,4.2
200,FO,0,34.997803,,111.27,125.0,3.3
201,CF3O2,0,101.004709,,,500.0,4.2
202,CF,0,31.009103,,,125.0,3.3
203,OH-,-1,17.00734,,-145.256,79.8,3.147
204,HF,0,20.006343,,-272.86,330.0,3.148
205,H3O+,1,19.02322,,,809.1,2.641
