ID	X	Y	X_error	Y_error
rowB201212397	1.0	110.0	0.0	0.0
rowB201212397	1.2	95.3	0.0	0.0
rowB201212397	1.8	62.3	0.0	0.0
rowB201212397	1.6	71.0	0.0	0.0
rowB201212397	1.4	82.0	0.0	0.0
rowB201212397	2.8	43.2	0.0	0.0
rowB201212397	2.5	46.9	0.0	0.0
rowB201212397	2.2	51.1	0.0	0.0
rowB201212397	2.0	54.2	0.0	0.0
rowB201212397	3.7	34.8	0.0	0.0
rowB201212397	3.4	37.2	0.0	0.0
rowB201212397	3.1	39.8	0.0	0.0
rowB201212397	4.5	31.4	0.0	0.0
rowB201212397	4.0	33.5	0.0	0.0
rowB201212397	5.0	30.2	0.0	0.0
rowB201212397	5.5	29.1	0.0	0.0
rowB201212397	6.0	28.4	0.0	0.0
rowB201212397	6.5	27.3	0.0	0.0
rowB201212397	7.0	26.8	0.0	0.0
rowB201212397	7.5	26.5	0.0	0.0
rowB201212397	8.0	25.8	0.0	0.0
rowB201212397	8.5	25.5	0.0	0.0
rowB201212397	9.0	24.8	0.0	0.0
rowB201212397	9.5	23.7	0.0	0.0
rowB201212397	10.0	23.2	0.0	0.0
rowB201212397	11.0	22.8	0.0	0.0
rowB201212397	12.0	22.4	0.0	0.0
rowB201212397	13.0	21.7	0.0	0.0
rowB201212397	14.0	21.0	0.0	0.0
rowB201212397	15.0	20.3	0.0	0.0
rowB201212397	16.0	19.6	0.0	0.0
rowB201212397	17.0	19.1	0.0	0.0
rowB201212397	18.0	18.6	0.0	0.0
rowB201212397	19.0	18.3	0.0	0.0
rowB201212397	20.0	17.7	0.0	0.0
rowB201212397	22.0	16.9	0.0	0.0
rowB201212397	25.0	15.6	0.0	0.0
rowB201212397	30.0	14.1	0.0	0.0
rowB201212397	35.0	13.1	0.0	0.0
rowB201212397	40.0	12.2	0.0	0.0
rowB201212397	50.0	10.5	0.0	0.0
rowB201212397	60.0	9.7	0.0	0.0
rowB201212397	70.0	8.9	0.0	0.0
rowB201212397	80.0	8.3	0.0	0.0
rowB201212397	90.0	7.7	0.0	0.0
rowB201212397	100.0	7.1	0.0	0.0
rowB201212397	120.0	6.5	0.0	0.0
rowB201212397	150.0	5.6	0.0	0.0
rowB201212397	200.0	4.8	0.0	0.0
rowB201212397	250.0	4.2	0.0	0.0
rowB201212397	289.0	3.78	0.0	0.0
rowB201212397	361.0	3.19	0.0	0.0
rowB201212397	400.0	2.93	0.0	0.0
rowB201212397	484.0	2.53	0.0	0.0
rowB201212397	500.0	2.48	0.0	0.0
rowB201212397	576.0	2.2	0.0	0.0
rowB201212397	676.0	1.91	0.0	0.0
rowB201212397	782.0	1.75	0.0	0.0
rowB201212397	900.0	1.55	0.0	0.0
rowB201212397	1000.0	1.42	0.0	0.0
rowB201213043	0.6	61.4	0.0	0.0
rowB201213043	0.5	71.4	0.0	0.0
rowB201213043	0.9	43.2	0.0	0.0
rowB201213043	0.7	53.8	0.0	0.0
rowB201213043	0.8	47.9	0.0	0.0
rowB201213043	1.0	39.4	0.0	0.0
rowB201213043	1.2	33.8	0.0	0.0
rowB201213043	1.5	28.4	0.0	0.0
rowB201213043	1.7	26.1	0.0	0.0
