specie	record_number	process	QDB_process	type	element	ionic_state	initial_state_conf	initial_state	final_state	reaction_formula	x_unit	y_unit	reference_number	author	title_of_record	journal_name	volume_and_issue_No	page_number	date_of_publication	DOI
H2O	rowB201212397	Electron Impact Total Scattering	ETS	R	H2O	0		H2O		e + H2O	eV	1E-16 cm^2	2012000672	Yukikazu Itikawa  N. Mason	Cross Sections for Electron Collisions with Water Molecules	J.Phys.Chem.Ref.Data	34	1/-	2005	
H2O	rowB201213043	Electron Impact Total Scattering	ETS	R	H2O	0		H2O		e + H2O	eV	1E-16 cm^2	2011000255	G. P. Karwasz  R. S. Brusa  A. Zecca	Photon and Electron Interactions with Atoms, Molecules and Ions	Landolt-Bornstein	17C	6-1/6-51	2003	
H2O	rowB201212399	Electron Impact Elastic Scattering	EEL	R	H2O	0		H2O	H2O + e	e + H2O -> H2O + e	eV	1E-16 cm^2	2012000672	Yukikazu Itikawa  N. Mason	Cross Sections for Electron Collisions with Water Molecules	J.Phys.Chem.Ref.Data	34	1/-	2005	
H2O	rowB201213091	Electron Impact Elastic Scattering	EEL	R	H2O	0		H2O		e + H2O	eV	1E-16 cm^2	2011000256	S. J. Buckman  M. Brunger  M. T. Elford	Photon and Electron Interactions with Atoms, Molecules and Ions	Landolt-Bornstein	17C	6-52/6-84	2003	
H2O	rowB201212400	Electron Impact Momentum Transfer  Scattering	EMT	R	H2O	0		H2O		e + H2O	eV	1E-16 cm^2	2012000672	Yukikazu Itikawa  N. Mason	Cross Sections for Electron Collisions with Water Molecules	J.Phys.Chem.Ref.Data	34	1/-	2005	
H2O	rowB201212413	Electron Impact Total Ionization	ETI	R	H2O	0		H2O		e + H2O	eV	1E-16 cm^2	2012000672	Yukikazu Itikawa  N. Mason	Cross Sections for Electron Collisions with Water Molecules	J.Phys.Chem.Ref.Data	34	1/-	2005	
H2O	rowB201212661	Electron Impact Total Ionization	ETI	R	H2O	0		H2O		e + H2O	eV	1E-16 cm^2	2011000253	B.G. Lindsay  M.A. Mangan	Photon and Electron Interactions with Atoms, Molecules and Ions	Landolt-Bornstein	17C	5-1/5-77	2003	
H2O	rowB201216023	Electron Impact Total Ionization	ETI	R	H2O	0		H2O		e + H2O	eV	1E-16 cm^2	2012000951	J.W. McConkey  C.P. Malone  P.V. Johnson  C. Winstead  V. McKoy  I. Kanik	Electron impact dissociation of oxygen-containing molecules–A critical review	Phys. Rep.	466	1/103	2008	
H2O	rowB201212407	Electron Impact Partial Ionization	EIN	R	H2O	0		H2O	H2O+ + e(2)	e + H2O -> H2O+ + e(2)	eV	1E-16 cm^2	2012000672	Yukikazu Itikawa  N. Mason	Cross Sections for Electron Collisions with Water Molecules	J.Phys.Chem.Ref.Data	34	1/-	2005	
H2O	rowB201212408	Electron Impact Partial Ionization	EIN	R	H2O	0		H2O	OH+ + H + e(2)	e + H2O -> OH+ + H + e(2)	eV	1E-16 cm^2	2012000672	Yukikazu Itikawa  N. Mason	Cross Sections for Electron Collisions with Water Molecules	J.Phys.Chem.Ref.Data	34	1/-	2005	
H2O	rowB201212409	Electron Impact Partial Ionization	EIN	R	H2O	0		H2O	O+ + H2 + e(2)	e + H2O -> O+ + H2 + e(2)	eV	1E-16 cm^2	2012000672	Yukikazu Itikawa  N. Mason	Cross Sections for Electron Collisions with Water Molecules	J.Phys.Chem.Ref.Data	34	1/-	2005	
H2O	rowB201212410	Electron Impact Partial Ionization	EIN	R	H2O	0		H2O	O2+ + H2 + e(3)	e + H2O -> O2+ + H2 + e(3)	eV	1E-16 cm^2	2012000672	Yukikazu Itikawa  N. Mason	Cross Sections for Electron Collisions with Water Molecules	J.Phys.Chem.Ref.Data	34	1/-	2005	
