specie,record_number,process,QDB_process,type,element,ionic_state,initial_state_conf,initial_state,final_state,reaction_formula,x_unit,y_unit,reference_number,author,title_of_record,journal_name,volume_and_issue_No,page_number,date_of_publication
C3H,10244,ionization dissociative ionization dissociation,EDS, V,C3H,0,,C3H +0 ( ),,C3H + e --> (total ionization), eV,cm2,RN 2001T201, Janev  R.K. Wang  J.G. Murakami  I. Kato  T., Cross Sections and Rate Coefficients for Electron-Impact Ionization of Hydrocarbon Molecules, NIFS-DATA,68,,2001
Si,13277,electron scattering,, T, Si,0,3s^2`3p^2`^1`D,Si +0 ( 3s23p21D ),3p2 1S,Si(3s23p21D) + e --> 3p2 1S, eV,cm2,RN 2012T203, Gedeon  V. Gedeon  S. Lazur  V. Nagy  E. Zatsarinny  O. Bartschat  K. Khakoo  M.A., Electron scattering from silicon, Phys. Rev. A,85,22711,2012
Si,13284,electron scattering,, T, Si,0,3s^2`3p^2`^1`S,Si +0 ( 3s23p21S ),3p3d 1Po,Si(3s23p21S) + e --> 3p3d 1Po, eV,cm2,RN 2012T203, Gedeon  V. Gedeon  S. Lazur  V. Nagy  E. Zatsarinny  O. Bartschat  K. Khakoo  M.A., Electron scattering from silicon, Phys. Rev. A,85,22711,2012
Si,13288,electron scattering,, T, Si,0,3s^2`3p^2`^1`S,Si +0 ( 3s23p21S ),3p4d 1Po,Si(3s23p21S) + e --> 3p4d 1Po, eV,cm2,RN 2012T203, Gedeon  V. Gedeon  S. Lazur  V. Nagy  E. Zatsarinny  O. Bartschat  K. Khakoo  M.A., Electron scattering from silicon, Phys. Rev. A,85,22711,2012
Si,13285,electron scattering,, T, Si,0,3s^2`3p^2`^1`S,Si +0 ( 3s23p21S ),3p4p 1D,Si(3s23p21S) + e --> 3p4p 1D, eV,cm2,RN 2012T203, Gedeon  V. Gedeon  S. Lazur  V. Nagy  E. Zatsarinny  O. Bartschat  K. Khakoo  M.A., Electron scattering from silicon, Phys. Rev. A,85,22711,2012
Si,13287,electron scattering,, T, Si,0,3s^2`3p^2`^1`S,Si +0 ( 3s23p21S ),3p4p 1S,Si(3s23p21S) + e --> 3p4p 1S, eV,cm2,RN 2012T203, Gedeon  V. Gedeon  S. Lazur  V. Nagy  E. Zatsarinny  O. Bartschat  K. Khakoo  M.A., Electron scattering from silicon, Phys. Rev. A,85,22711,2012
Si,13283,electron scattering,, T, Si,0,3s^2`3p^2`^1`S,Si +0 ( 3s23p21S ),3p4s 1Po,Si(3s23p21S) + e --> 3p4s 1Po, eV,cm2,RN 2012T203, Gedeon  V. Gedeon  S. Lazur  V. Nagy  E. Zatsarinny  O. Bartschat  K. Khakoo  M.A., Electron scattering from silicon, Phys. Rev. A,85,22711,2012
Si,13286,electron scattering,, T, Si,0,3s^2`3p^2`^1`S,Si +0 ( 3s23p21S ),3s3p3 3Do,Si(3s23p21S) + e --> 3s3p3 3Do, eV,cm2,RN 2012T203, Gedeon  V. Gedeon  S. Lazur  V. Nagy  E. Zatsarinny  O. Bartschat  K. Khakoo  M.A., Electron scattering from silicon, Phys. Rev. A,85,22711,2012
Si,13271,electron scattering,, T, Si,0,3s^2`3p^2`^3`P,Si +0 ( 3s23p23P ),3p21D,Si(3s23p23P) + e --> 3p21D, eV,cm2,RN 2012T203, Gedeon  V. Gedeon  S. Lazur  V. Nagy  E. Zatsarinny  O. Bartschat  K. Khakoo  M.A., Electron scattering from silicon, Phys. Rev. A,85,22711,2012
Si,13274,electron scattering,, T, Si,0,3s^2`3p^2`^3`P,Si +0 ( 3s23p23P ),3p2 1S,Si(3s23p23P) + e --> 3p2 1S, eV,cm2,RN 2012T203, Gedeon  V. Gedeon  S. Lazur  V. Nagy  E. Zatsarinny  O. Bartschat  K. Khakoo  M.A., Electron scattering from silicon, Phys. Rev. A,85,22711,2012
Si,13279,electron scattering,, T, Si,0,3s^2`3p^2`^3`P,Si +0 ( 3s23p23P ),3p3d 1Fo,Si(3s23p23P) + e --> 3p3d 1Fo, eV,cm2,RN 2012T203, Gedeon  V. Gedeon  S. Lazur  V. Nagy  E. Zatsarinny  O. Bartschat  K. Khakoo  M.A., Electron scattering from silicon, Phys. Rev. A,85,22711,2012
